Country,Country Code,Year,GDP_growth,GCF_percent,Delta_GCF_pct,Delta_GDP_growth,Period
Indonesia,IDN,2007,6.3450222266721426,24.92028384872565,-0.479933445629122,0.8440704414686593,2005-2009
Indonesia,IDN,2008,6.013703600091233,27.816244579858303,2.8959607311326536,-0.3313186265809094,2005-2009
Indonesia,IDN,2009,4.628871182561525,30.98519241399812,3.168947834139818,-1.384832417529708,2005-2009
Indonesia,IDN,2010,6.223854180623661,32.88012145335585,1.8949290393577272,1.594982998062136,2010-2014
Indonesia,IDN,2011,6.16978420771008,32.98433325930453,0.10421180594867963,-0.054069972913580955,2010-2014
Indonesia,IDN,2012,6.030050653056151,35.07159361088928,2.087260351584753,-0.13973355465392956,2010-2014
Indonesia,IDN,2013,5.557263688910098,33.83135678790178,-1.240236822987498,-0.4727869641460529,2010-2014
Indonesia,IDN,2014,5.006668425754995,34.6003439149803,0.7689871270785176,-0.5505952631551025,2010-2014
Indonesia,IDN,2015,4.876322300221233,34.062792180338576,-0.537551734641724,-0.13034612553376235,2015-2019
Indonesia,IDN,2016,5.033069182801768,33.85873930394622,-0.20405287639235326,0.15674688258053493,2015-2019
Indonesia,IDN,2017,5.069785901349164,33.71059479577505,-0.1481445081711712,0.036716718547396,2015-2019
Indonesia,IDN,2018,5.174291539550239,34.57058583197068,0.8599910361956304,0.10450563820107561,2015-2019
Indonesia,IDN,2019,5.019287680462824,33.78014237739954,-0.7904434545711396,-0.1550038590874152,2015-2019
Indonesia,IDN,2020,-2.065511829341645,32.343412053748146,-1.4367303236513962,-7.084799509804469,2020-2024
Indonesia,IDN,2021,3.7028856282775138,31.4488724858485,-0.8945395678996455,5.768397457619159,2020-2024
Indonesia,IDN,2022,5.307197226647986,29.74531382122593,-1.7035586646225696,1.6043115983704723,2020-2024
Indonesia,IDN,2023,5.049023318359971,30.34258647370352,0.5972726524775887,-0.2581739082880148,2020-2024
Indonesia,IDN,2024,5.030344694190376,31.396354183511026,1.0537677098075058,-0.018678624169595537,2020-2024
Malaysia,MYS,1986,1.2405949275068764,25.98541777243903,,,1985-1989
Malaysia,MYS,1987,5.191932112727017,23.081951039033115,-2.9034667334059137,3.95133718522014,1985-1989
Malaysia,MYS,1988,9.93771967651989,26.361372740067125,3.2794217010340105,4.745787563792874,1985-1989
Malaysia,MYS,1989,9.059600866504297,29.870858000817236,3.509485260750111,-0.878118810015593,1985-1989
Malaysia,MYS,1990,9.008527137746285,32.360326164543466,2.4894681637262295,-0.05107372875801275,1990-1994
Malaysia,MYS,1991,9.545467414430519,37.79047393505225,5.430147770508782,0.5369402766842342,1990-1994
Malaysia,MYS,1992,8.88511797832156,35.3625515987311,-2.4279223363211457,-0.6603494361089588,1990-1994
Malaysia,MYS,1993,9.894943333770641,39.183711395286714,3.8211597965556123,1.009825355449081,1990-1994
Malaysia,MYS,1994,9.212041793348675,41.20208123359647,2.0183698383097592,-0.682901540421966,1990-1994
Malaysia,MYS,1995,9.829085197308117,43.63990237017526,2.4378211365787834,0.6170434039594426,1995-1999
Malaysia,MYS,1996,10.002700686184411,41.479198524427346,-2.1607038457479106,0.17361548887629397,1995-1999
Malaysia,MYS,1997,7.322741850359236,42.973083269752834,1.493884745325488,-2.6799588358251754,1995-1999
Malaysia,MYS,1998,-7.359415188175561,26.67497519797488,-16.298108071777953,-14.682157038534797,1995-1999
Malaysia,MYS,1999,6.137612010576916,22.382000505379633,-4.292974692595248,13.497027198752477,1995-1999
Malaysia,MYS,2000,8.858868169693864,26.86748914845918,4.485488643079545,2.7212561591169475,2000-2004
Malaysia,MYS,2001,0.5176753191928611,24.39821997339603,-2.469269175063147,-8.341192850501002,2000-2004
Malaysia,MYS,2002,5.390988306927966,24.777343148588383,0.37912317519235117,4.873312987735105,2000-2004
Malaysia,MYS,2003,5.788499285887497,22.76338506431947,-2.013958084268914,0.3975109789595308,2000-2004
Malaysia,MYS,2004,6.783437723703045,23.049564601053056,0.286179536733588,0.9949384378155486,2000-2004
Malaysia,MYS,2005,5.332139161414858,22.39641780940362,-0.6531467916494371,-1.451298562288187,2005-2009
Malaysia,MYS,2006,5.5848470671515,22.70352422316952,0.30710641376590075,0.25270790573664215,2005-2009
Malaysia,MYS,2007,6.298785927409469,23.409534974599453,0.7060107514299325,0.7139388602579686,2005-2009
Malaysia,MYS,2008,4.8317698891309675,21.458304381199277,-1.951230593400176,-1.4670160382785014,2005-2009
Malaysia,MYS,2009,-1.5135287159871353,17.835694957053096,-3.62260942414618,-6.345298605118103,2005-2009
Malaysia,MYS,2010,7.424847383260968,23.38654109764144,5.5508461405883445,8.938376099248103,2010-2014
Malaysia,MYS,2011,5.2939128341400306,23.18825796587378,-0.19828313176765988,-2.130934549120937,2010-2014
Malaysia,MYS,2012,5.473454192538526,25.74862136706025,2.5603634011864678,0.17954135839849528,2010-2014
Malaysia,MYS,2013,4.693722525578934,25.937106695961376,0.1884853289011268,-0.7797316669595915,2010-2014
Malaysia,MYS,2014,6.006721945582029,24.977608426281336,-0.95949826968004,1.312999420003095,2010-2014
Malaysia,MYS,2015,5.091532421550113,25.42426327714199,0.4466548508606536,-0.9151895240319163,2015-2019
Malaysia,MYS,2016,4.449781397615411,25.995511999400396,0.5712487222584066,-0.6417510239347024,2015-2019
Malaysia,MYS,2017,5.812722409833285,25.54734345151875,-0.4481685478816466,1.362941012217874,2015-2019
Malaysia,MYS,2018,4.843086976348815,23.89741996087631,-1.6499234906424398,-0.9696354334844699,2015-2019
Malaysia,MYS,2019,4.413187421295859,21.04824039448149,-2.8491795663948203,-0.4298995550529554,2015-2019
Malaysia,MYS,2020,-5.456846584267012,19.658008228154237,-1.3902321663272517,-9.870034005562871,2020-2024
Malaysia,MYS,2021,3.3153495439916583,22.12570839966724,2.467700171513002,8.77219612825867,2020-2024
Malaysia,MYS,2022,8.861821875780464,23.61011510241231,1.4844067027450691,5.546472331788806,2020-2024
Malaysia,MYS,2023,3.5554871541050943,22.470244810303534,-1.1398702921087747,-5.30633472167537,2020-2024
Malaysia,MYS,2024,5.114155478290911,21.852583258740268,-0.6176615515632662,1.5586683241858168,2020-2024
Philippines,PHL,1986,3.51068403005506,15.052368593471046,,,1985-1989
Philippines,PHL,1987,4.361809672776971,17.16002966343574,2.107661069964694,0.8511256427219109,1985-1989
Philippines,PHL,1988,6.696931104681852,18.30049435034363,1.1404646869078903,2.3351214319048808,1985-1989
Philippines,PHL,1989,6.18391820283388,21.009589211010816,2.709094860667186,-0.5130129018479721,1985-1989
Philippines,PHL,1990,3.0826725285588736,23.33171058498868,2.3221213739778648,-3.101245674275006,1990-1994
Philippines,PHL,1991,-0.4363900805334282,19.71709250767433,-3.6146180773143506,-3.519062609092302,1990-1994
Philippines,PHL,1992,0.4176290660979447,20.748331240935496,1.0312387332611657,0.8540191466313729,1990-1994
Philippines,PHL,1993,2.1818899856129974,23.185536803369065,2.4372055624335687,1.7642609195150527,1990-1994
Philippines,PHL,1994,4.373665918190767,23.31145264832111,0.125915844952047,2.1917759325777695,1990-1994
Philippines,PHL,1995,4.62522511739661,21.794295082021403,-1.5171575662997085,0.25155919920584324,1995-1999
Philippines,PHL,1996,5.860347871637899,23.28233670170633,1.4880416196849282,1.2351227542412886,1995-1999
Philippines,PHL,1997,5.186411674061645,24.06448802960743,0.7821513279010972,-0.6739361975762534,1995-1999
Philippines,PHL,1998,-0.5140905995418876,19.988915643433245,-4.0755723861741835,-5.700502273603533,1995-1999
Philippines,PHL,1999,3.3464511839826656,16.200654038343345,-3.7882616050899003,3.8605417835245532,1995-1999
Philippines,PHL,2000,4.382505000833987,15.684364157955038,-0.5162898803883067,1.0360538168513216,2000-2004
Philippines,PHL,2001,3.049231344634862,18.945175876676622,3.260811718721584,-1.3332736561991254,2000-2004
Philippines,PHL,2002,3.716255001583832,20.459137136974864,1.5139612602982417,0.6670236569489703,2000-2004
Philippines,PHL,2003,5.086911135130734,19.52873560840631,-0.9304015285685523,1.3706561335469019,2000-2004
Philippines,PHL,2004,6.5692285118062586,20.73100744612703,1.202271837720719,1.4823173766755247,2000-2004
Philippines,PHL,2005,4.942505118776779,18.566530072043406,-2.1644773740836243,-1.6267233930294793,2005-2009
Philippines,PHL,2006,5.316416821369387,16.015337770384445,-2.5511923016589613,0.37391170259260775,2005-2009
Philippines,PHL,2007,6.519291550189379,16.128647113238603,0.1133093428541585,1.2028747288199924,2005-2009
Philippines,PHL,2008,4.344487305091832,18.967146915478946,2.8384998022403423,-2.1748042450975476,2005-2009
Philippines,PHL,2009,1.4483230627566854,17.431721199199135,-1.5354257162798106,-2.8961642423351464,2005-2009
Philippines,PHL,2010,7.334499960345383,20.441771139065935,3.0100499398668,5.886176897588697,2010-2014
Philippines,PHL,2011,3.858232827956627,20.739936567834917,0.2981654287689821,-3.476267132388756,2010-2014
Philippines,PHL,2012,6.896951710509853,19.560727968789667,-1.1792085990452499,3.0387188825532263,2010-2014
Philippines,PHL,2013,6.750531301422555,20.642224107668977,1.0814961388793094,-0.14642040908729825,2010-2014
Philippines,PHL,2014,6.347987482608673,20.923970437370475,0.28174632970149815,-0.4025438188138821,2010-2014
Philippines,PHL,2015,6.348309716727613,21.340947871106412,0.4169774337359371,0.0003222341189399458,2015-2019
Philippines,PHL,2016,7.149456750007516,24.618503101685043,3.2775552305786313,0.8011470332799036,2015-2019
Philippines,PHL,2017,6.930988325840204,25.55877386396017,0.9402707622751265,-0.2184684241673125,2015-2019
Philippines,PHL,2018,6.341485571534733,27.150582041562103,1.5918081776019335,-0.5895027543054709,2015-2019
Philippines,PHL,2019,6.118525662213031,26.40180846472841,-0.7487735768336918,-0.22295990932170184,2015-2019
Philippines,PHL,2020,-9.518294740452973,17.4333790282876,-8.968429436440811,-15.636820402666004,2020-2024
Philippines,PHL,2021,5.714733131851162,21.140737148313473,3.707358120025873,15.233027872304135,2020-2024
Philippines,PHL,2022,7.580982127855634,24.685861676310232,3.5451245279967587,1.8662489960044724,2020-2024
Philippines,PHL,2023,5.51894967862863,23.406151616300814,-1.2797100600094176,-2.0620324492270043,2020-2024
Philippines,PHL,2024,5.6920161282341155,23.68464459595453,0.27849297965371633,0.17306644960548567,2020-2024
Thailand,THA,1986,5.533827767247715,25.872310911816104,,,1985-1989
Thailand,THA,1987,9.518946022107897,27.874711990577417,2.002401078761313,3.9851182548601827,1985-1989
Thailand,THA,1988,13.288114071764383,32.59088991920238,4.716177928624965,3.7691680496564857,1985-1989
Thailand,THA,1989,12.19050598661093,35.06611671165779,2.475226792455409,-1.0976080851534533,1985-1989
Thailand,THA,1990,11.167163444629253,41.35376258604877,6.287645874390975,-1.0233425419816768,1990-1994
Thailand,THA,1991,8.558260321242301,42.84137754794478,1.4876149618960142,-2.608903123386952,1990-1994
